datetime;uc01;uc02;uc03;uc04
06.01.2019 3:00:00;2919,567003628;2630,172263150;2567,466246829;2373,544370716
06.01.2019 4:00:00;2654,593921311;2440,082615078;2335,183611708;2329,847259844
06.01.2019 5:00:00;2668,498668412;2467,579185854;2270,704080160;2463,906039321
06.01.2019 6:00:00;2840,791610368;2583,043556559;2184,373383973;2482,362180603
06.01.2019 7:00:00;2956,452344813;2674,052999771;2368,409229483;2597,985640765
06.01.2019 8:00:00;3183,517180793;2832,468985920;2431,354728509;2926,801240690
06.01.2019 9:00:00;3559,574814553;3104,711860905;2422,667716194;3126,375132439
06.01.2019 10:00:00;3940,118124958;3310,109168323;2698,934993972;3269,780077812
06.01.2019 11:00:00;4186,902157713;3524,171052951;2830,173401222;3273,673537125
06.01.2019 12:00:00;4330,453285007;3608,246224829;2646,850872826;3483,821034456
06.01.2019 13:00:00;4473,048430692;3694,268426208;2873,137100441;3464,280790526
06.01.2019 14:00:00;4674,723088290;3846,157328958;2984,249046321;3680,508675904
06.01.2019 15:00:00;5087,303258512;4073,157049655;2991,948338433;3988,161452608
06.01.2019 16:00:00;5637,745215280;4544,208347980;3390,834697851;3892,861373354
06.01.2019 17:00:00;5767,621359118;4511,692992290;3106,744822266;3964,329518425
06.01.2019 18:00:00;5782,323925494;4564,743269173;3582,758219194;3828,008358997
06.01.2019 19:00:00;5519,082095839;4462,335016609;3402,178497511;3901,264045691
06.01.2019 20:00:00;5357,894668857;4331,137477860;3531,749101181;3606,112596774
06.01.2019 21:00:00;5048,350200511;4117,115094806;3222,920524160;3433,216070611
06.01.2019 22:00:00;4685,335251435;3917,070765067;3283,191836938;3321,958914415
06.01.2019 23:00:00;4437,616008228;3729,724086291;3216,188524601;3207,787065003
07.01.2019 0:00:00;3991,110579953;3415,232382802;2671,055217205;2809,402656503
07.01.2019 1:00:00;3488,735148246;3068,897699357;2856,296409308;2630,131801972
07.01.2019 2:00:00;3169,533275720;2755,400037465;2434,640914578;2397,127818961
07.01.2019 3:00:00;2810,906538007;2561,374893202;2445,340006005;2328,522057970
07.01.2019 4:00:00;2627,298226412;2430,457539437;2326,332457478;2377,226740196
07.01.2019 5:00:00;2674,173481691;2478,999989263;2225,787360402;2457,547345409
07.01.2019 6:00:00;2782,453262799;2542,484148261;2271,278006829;2423,279788054
07.01.2019 7:00:00;2800,391897765;2562,464721204;2302,628389530;2444,352894100
07.01.2019 8:00:00;2825,081490646;2567,633451788;2272,867814008;2611,584981410
07.01.2019 9:00:00;2983,892726066;2676,511452598;2385,431608086;2673,628411910
07.01.2019 10:00:00;3262,107764114;2881,907742319;2339,923363177;2779,980215422
